A_cao,A_fru,A_mlk,A_plm,I_min,I_ngt,I_oil,B_alt,B_rfl,B_fer,C_bsl,C_fra,C_pas,C_sze,D_adt,D_old,D_ygr,E_hgr,E_ilt,E_pri,E_sec,G_chf,G_chm,G_pof,G_pom,H_lar,H_med,H_sma,L_kcw,L_oth,L_spa,L_wao,W_agr,W_ind,W_ser,deforestation_quantile,x,y
0.555555555555556,0.444444444444444,0.444444444444444,0.444444444444444,0.863124372077323,-0.29067525267601,0.833870600335964,652.462008141113,4121.84938941655,2,60.8387096774194,1.06471027027477,62.7755102040816,13009.0909090909,0.000979863107204,0.002981250174344,-0.004772300366312,-2.2908876417e-05,-0.000586255104281,-0.006668518297374,0.006466494873166,0.0,0.001002772711217,0.00135993771255,-0.002171125262976,-0.001758764963597,-0.000114544527605,-0.001012147869915,0.005660527385771,-0.009420679882169,0.008137783035636,0.0,-0.003265532199293,0.000897603458725,0.0,2,234426.319879481,-2896.54983629227
0.555555555555556,0.444444444444444,0.444444444444444,0.444444444444444,0.830270165991625,-0.29067525267601,0.853257836125796,533.415584415584,4044.6486013986,2,38.027397260274,1.06031792848668,70.3863636363636,36143.6170212766,0.000979863107204,0.002981250174344,-0.004772300366312,-2.2908876417e-05,-0.000586255104281,-0.006668518297374,0.006466494873166,0.004187764599919,0.001002772711217,0.00135993771255,-0.002171125262976,-0.001758764963597,-0.000114544527605,-0.001012147869915,0.005660527385771,-0.009420679882169,0.008137783035636,0.0,-0.003265532199293,0.000897603458725,-0.003575102193281,3,236424.026222194,-2896.45413617082
0.777777777777778,0.444444444444444,0.444444444444444,0.444444444444444,0.797853638041912,-0.29067525267601,0.872614145508081,521.815209830744,3989.44331092047,2,39.0666666666667,1.05285132144179,88.4285714285714,25698.2142857143,0.047156244516373,0.025749918073416,0.02709211781621,-0.00399830751121,0.000267373397946,0.065065383911133,0.044583383947611,0.004187764599919,0.026479456573725,0.032777912914753,0.068796299397945,-0.016572270542383,0.015564693138003,0.005418424494565,0.081320643424988,0.001960196066648,0.174312263727188,0.0,0.087401360273361,-0.007150204386562,-0.003575102193281,3,238421.66656242,-2896.3584404495
0.555555555555556,0.444444444444444,0.444444444444444,0.444444444444444,0.794693773833186,-0.29067525267601,0.891890429683095,495.870738636364,3915.73650568182,2,10.0,1.10479113288309,99.0813953488372,57155.1724137931,0.047156244516373,0.025749918073416,0.02709211781621,-0.00399830751121,0.000267373397946,0.065065383911133,0.044583383947611,0.004187764599919,0.026479456573725,0.032777912914753,0.068796299397945,-0.016572270542383,0.015564693138003,0.005418424494565,0.081320643424988,0.001960196066648,0.174312263727188,0.0,0.087401360273361,-0.007150204386562,-0.003575102193281,4,240419.240903191,-2896.26274911841
0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.813557665594606,-0.29067525267601,0.911037503617393,498.234248788368,3893.91653204093,2,21.4545454545455,1.09486923294683,89.9259259259259,16316.1290322581,0.149280697107315,0.075236201286316,0.191095143556595,0.009845061227679,0.018498422577977,0.15705381333828,0.235655263066292,0.024612654000521,0.119071796536446,0.176432475447655,0.23917955160141,0.020986750721931,0.069639950990677,0.026322342455387,0.439964056015015,-0.001191700692289,0.350735574960709,0.0,0.211665526032448,0.009845061227679,0.00492253061384,2,242416.749247532,-2896.16706216719
0.666666666666667,0.444444444444444,0.444444444444444,0.444444444444444,0.828305232268128,-0.29067525267601,0.929956612312169,520.448498845266,3873.96581986143,2,32.0,1.05610355791056,94.72,12277.358490566,0.049590226262808,0.002713017165661,0.045440696179867,0.043425798416138,-0.009759723208845,-0.004944279789925,0.07191826403141,0.004157581366599,0.016709797084332,0.023469761013985,0.074980355799198,-0.01217199396342,0.01198888849467,0.007410821504891,0.005649407859892,0.011647877283394,0.101703360676765,0.0,-0.0084268450737,-0.007816251367331,0.007759883534163,2,244414.191598459,-2896.0713795863
0.555555555555556,0.444444444444444,0.444444444444444,0.444444444444444,0.837735845048563,-0.29067525267601,0.948419356005987,473.347566574839,3814.85950413223,2,25.0657894736842,1.07383769494624,86.00625,45911.0429447853,0.020125243812799,-0.026811335235834,0.026515521109104,-0.005485394503921,-0.010135121643543,-0.007483869791031,0.022267963737249,0.001621063798666,0.017567969858646,0.007684208452702,0.011108472943306,-0.032007478177547,0.014344784431159,0.005617262329906,0.0679667070508,-0.028344236314297,0.008764661848545,0.0,0.017869595438242,-0.011454556137323,-0.006371333263814,3,246411.567958984,-2895.97570136546
0.555555555555556,0.333333333333333,0.444444444444444,0.444444444444444,0.845163996100645,-0.29067525267601,0.965779541170408,435.468113975577,3768.4066033469,2,33.6734693877551,1.06530698873464,83.5858585858586,33125.2427184466,0.020125243812799,-0.026811335235834,0.026515521109104,-0.005485394503921,-0.010135121643543,-0.007483869791031,0.022267963737249,0.001621063798666,0.017567969858646,0.007684208452702,0.011108472943306,-0.032007478177547,0.014344784431159,0.005617262329906,0.0679667070508,-0.028344236314297,0.008764661848545,0.0,0.017869595438242,-0.011454556137323,-0.006371333263814,2,248408.878332111,-2895.88002749482
0.777777777777778,0.444444444444444,0.444444444444444,0.444444444444444,0.856148858277874,-0.29067525267601,0.979670185234705,407.776859504132,3753.96740128558,3,17.5217391304348,1.0964077689818,97.6666666666667,58221.4285714286,0.020743917673826,-0.027635551989079,0.02733064442873,-0.005654022563249,-0.0104466881603,-0.007713936269283,0.022952513769269,0.00167089747265,0.018108032643795,0.007920421659946,0.011449962854385,-0.03299143537879,0.014785763807595,0.005789945367724,0.070056095719337,-0.029215576127172,0.009034097194672,0.000415663671447,0.018418934196234,-0.011806685477495,-0.006567196920514,4,250406.122720836,-2895.78435796467
0.666666666666667,0.444444444444444,0.444444444444444,0.444444444444444,0.86846378237956,-0.29067525267601,0.982436110117754,398.901402080507,3725.18046132971,3,14.0,1.06788665561353,99.0363636363636,18198.3050847458,0.012993302196264,0.006327835377306,0.011081703938544,0.000607889145613,0.003423896618187,0.013823872432113,0.011190948076546,0.001631442108192,0.009928351268172,0.014479337260127,0.015923503786325,0.002508830279112,0.002903938293457,-7.8031676821e-05,0.028174167498946,-0.001132797216997,0.054488103836775,0.000415663671447,8.2222744823e-05,0.000192225488718,0.000415663671447,2,252403.301128149,-2895.68869276433
